Company Name,Job Title,Job Description,Minimum Qualification,Location,Total Experience,Key Skills,Salary/Wage Type,Nature of Job,Salary,Number of Openings,Search Keyword
Apna (On behalf of Hi-Tech Combustion)Click here for more details,Sales and Marketing Executive,"Job Description:

We are seeking a dynamic and results-driven Sales and Marketing Executive to join our team. The ideal candidate will be responsible for promoting the companys products or services, generating leads, closing sales, and building long-term client relationships.
Key Responsibilities:

Identify and generate new sales leads through field visits, cold calling, and networking

Promote and market products/services to potential customers and business clients

Prepare and deliver presentations, proposals, and quotations

Meet and exceed sales targets on a monthly/quarterly basis

Maintain relationships with existing customers and ensure repeat business

Conduct market research and gather feedback to improve offerings

Plan and execute marketing campaigns, promotions, and events

Coordinate with the marketing team for online and offline branding activities

Maintain records of client interactions and submit regular sales reports

Requirements:

Bachelor's degree in Marketing, Business, or a related field

13 years of experience in sales and marketing (freshers can also apply in some cases)

Strong communication, negotiation, and presentation skills

Self-motivated, confident, and target-driven

Proficiency in MS Office and CRM tools

Two-wheeler with a valid driving license (if field work is required)

Benefits:

Fixed salary + performance-based incentives

Travel allowance (if applicable)

Professional development and growth opportunities

Supportive team environment.",Apna (On behalf of Hi-Tech Combustion)Click here for more details,"AhmedabadDistrict: Ahmedabad, State: Gujarat",0 - 31,"Sales, Marketing, B2B Sales, Sales Management, B2C Sales, Channel Sales, Sales Operations, Sales Development, Enterprise Sales, Marketing Management, Marketing strategy, Sales Promotion, Distributor, sales promotions, SMB sales",Monthly,Full Time,15000 - 30000,1,driving
Apna (On behalf of Aleshwar Travels)Click here for more details,Marketing Executive,"Job Summary:

We are seeking a creative, energetic, and results-driven Marketing Executive to support the planning and execution of marketing activities and campaigns. The ideal candidate will play a key role in brand promotion, lead generation, and driving business growth through both online and offline marketing channels.
Key Responsibilities:

Assist in the development and implementation of marketing strategies and campaigns.

Conduct market research to identify trends, competitors, and customer needs.

Create content for digital marketing, social media, and promotional materials.

Manage company social media pages and monitor engagement and performance.

Coordinate with design, sales, and product teams to align marketing efforts.

Organize and participate in promotional events, trade shows, and exhibitions.

Track and analyze campaign performance using marketing analytics tools.

Maintain and update customer databases and CRM systems.

Support lead generation activities and follow up with prospects when required.

Prepare reports on marketing performance and ROI.

Qualifications and Skills:

Bachelor's degree in Marketing, Business Administration, or a related field.

13 years of experience in a marketing or similar role (freshers with strong skills may apply).

Good understanding of digital marketing tools and platforms (SEO, social media, email marketing).

Excellent verbal and written communication skills.

Strong creative and analytical thinking abilities.

Proficient in MS Office; knowledge of design or marketing software (e.g., Canva, Adobe Suite, HubSpot) is a plus.

Ability to work independently and as part of a team.

What We Offer:

Competitive salary with performance-based incentives.

Opportunities for learning and career growth.

A collaborative and energetic work environment.

Exposure to a variety of marketing functions and campaigns.",Apna (On behalf of Aleshwar Travels)Click here for more details,"PuneDistrict: Pune, State: Maharashtra",3 - 31,"MS Word, Google Analytics, social media marketing, instagram ads, Social Media Campaigns, Marketing Management, Google Adwords, Marketing Professional , Google sheets, Social Media Advertising, paid Advertising, Facebook and Google ads, Google Ads certification, Social media paid advertising",Monthly,Full Time,15000 - 20000,2,driving
Apna (On behalf of BRICK2BRICK CONSULTING PRIVATE LIMITED)Click here for more details,Zonal Lead,"1. Strategizing and ensuring proper execution of business-related plans for their zone. 2. Ensuring the growth of business and profits of the company. 3. Identifying sales strategies, marketing related activities and ensuring implementing them in their Zone. 4. Ensuring the growth of customer base, sales figures and customer satisfaction index. 5. Keeping an eye on target competition and driving progress based on the metrics set by our company. 6. Coordinating project launches and availability",Apna (On behalf of BRICK2BRICK CONSULTING PRIVATE LIMITED)Click here for more details,"HyderabadDistrict: Hyderabad, State: Telangana",3 - 31,"B2B Sales, B2C Sales, Channel Sales, Distributor, SMB sales",Monthly,Full Time,35000 - 80000,1,driving
Apna (On behalf of Supro Info Solutions Private Limited)Click here for more details,Sales Development Manager,"For more information call or Share your CV on WhatsApp : 9510772601 (HR Shital Chotaliya)

Job Description : Business development manager

 Recruit the team of advisors.
 Train and motivate them.
 Guiding the Team to sell the products on the market.
 Driving sales through advisors, for the company.
 Team Management and team handling.


Required Candidate profile-
Experience : Minimum need 1 year exp. from sales/Marketing field(Field work)
Graduation is mandatory
Good Communication skills
Candidate Must be Local
Age :- 21 to 40 Years

(Fresher's Cant Apply)",Apna (On behalf of Supro Info Solutions Private Limited)Click here for more details,"South Twenty Four ParganasDistrict: South Twenty Four Parganas, State: West Bengal",1 - 31,"Field Sales, Sales, Marketing, B2B Sales, CASA, Product sales, Telecom, Channel Sales, Cross selling, Loans, area sales, Territory sales, Distributor, Credit-card Sales, FMCG Pre Sales",Monthly,Full Time,20000 - 38500,1,driving
Apna (On behalf of Trent Tata)Click here for more details,Retail Sales Officer,"Job Title: Sales Officer


Company: Trent Limited-WESTSIDE

Job Description:
Trent Limited is seeking a dynamic and results-driven Sales Officer to support the growth of its retail operations. The ideal candidate will be responsible for driving sales, managing customer relationships, and ensuring excellent in-store experiences. This role involves achieving sales targets, coordinating with store teams, and contributing to promotional activities.

Key Responsibilities:
Drive sales and achieve monthly targets
Build and maintain strong customer relationships
Monitor inventory and ensure product availability
Assist in executing marketing and promotional strategies
Provide feedback on customer preferences and market trends


Qualifications:
Bachelors degree in Business, Marketing, or a related field
13 years of sales or retail experience preferred
Strong communication and interpersonal skills
Customer-focused mindset with a proactive attitude


Location: Across Baroda
Employment Type: Full-time",Apna (On behalf of Trent Tata)Click here for more details,"GandhinagarDistrict: Gandhinagar, State: Gujarat",1 - 31,"Sales, Stock Audit, Retail Sales, Stock Inventory, Saas, Jewellery Sales, Apparel Sales, stock rotation, Store Sales, stock replenishment, Personal Care Sales, Clothes folding, Footwear Sales, Stock report",Monthly,Full Time,15000 - 22000,1,driving
Apna (On behalf of R3 Consultant)Click here for more details,Telesales Executive,"Designation: Inside Sales Executive
Work mode: In office
Experience: 1 to 5
Job location: Gurugram
Annual offered salary: 5 lacsto6 lacs

Job description
Purpose of Role:The Inside Sales Executive is responsible for driving outbound sales efforts by proactively engaging potential customers through phone-based communication. This role focuses on identifying customer needs, presenting tailored product or service solutions, and closing sales to contribute to revenue growth. The position requires a persuasive communicator with strong interpersonal and negotiation skills, dedicated to delivering results in a fast-paced sales environment.
Accountability & Responsibilities of Role:
Make outbound calls to prospective customers from provided databases or marketing-generated leads.
Understand customer needs and qualify leads to pitch appropriate products or services.
Address objections and convert cold/warm leads into confirmed sales or scheduled follow-ups.
Accurately document customer interactions and outcomes in the CRM system.
Consistently meet or exceed daily, weekly, and monthly sales targets and performance KPIs.
Conduct timely follow-ups through calls, emails, or messaging platforms to nurture leads and close deals.
Ensure a high standard of customer service throughout the sales process to encourage satisfaction and retention.
Stay informed on product features, promotions, industry trends, and competitor offerings.
Cross-sell additional products or services based on customer needs and interest to maximize sales opportunities.

Position Requirements:
Educational Background:
Bachelors degree in business administration, Marketing, Communications, or a related field (preferred).


Work Experience:
13 years of experience in outbound calling, tele sales, or inside sales.
Experience with CRM systems and sales tracking tools.
Preferred exposure to B2C or B2B tele sales in industries such as telecom, education, finance, SaaS, or insurance.

Technical / Industry Skills:
Strong",Apna (On behalf of R3 Consultant)Click here for more details,"Gurugram (Gurgaon)District: Gurugram (Gurgaon), State: Haryana",1 - 31,"International BPO, Telecom, B2C Sales, Lead Generation, Outbound Calling, Outbound Sales, Call handling, Lead conversion, dialer campaigns, Telesales/Telemarketing, Telecalling marketing",Monthly,Full Time,45000 - 75000,1,driving
Apna (On behalf of Loadmate Industries Private Limited)Click here for more details,Site Engineer,"Attend Service & Site related work of Electric Hoist & Cranes
 Visit the site for dimension measurement
 Attend the service call by visiting self or with the team
 Prepare the work report
 Technical Knowledge
 Prefers Travelling
 4 Wheel Driving with License
 Height Work experience",Apna (On behalf of Loadmate Industries Private Limited)Click here for more details,N/A,2 - 31,Manufacturing - Engineering,Monthly,Full Time,15000 - 25000,1,driving
Apna (On behalf of Rajvi Procon Private Limited)Click here for more details,Field Executive,"Job Summary: We are looking for a responsible and self-driven Field Executive to perform on-site tasks such as visiting clients, collecting documents, handling deliveries, performing field surveys, or supporting sales activities depending on the departments needs.

 Key Responsibilities: Visit client locations for data collection, verification, or documentation
Deliver or collect products, packages, or documents
Report daily field activity and complete assigned tasks within deadlines
Coordinate with internal teams for task updates and issue resolution
Maintain good relationships with customers or vendors
Ensure compliance with company guidelines and confidentiality policies
Capture photos, e-signatures, or feedback if required


 Requirements: Minimum Qualification: 12th pass (Graduation preferred)
Must own a two-wheeler and a valid driving license (if travel is involved)
Familiarity with local routes and good navigation skills
Basic knowledge of using a smartphone or mobile apps
Good communication and problem-solving abilities
Ability to work independently and manage time efficiently",Apna (On behalf of Rajvi Procon Private Limited)Click here for more details,N/A,0 - 31,"Field Work, Electrical Engineering",Monthly,Full Time,20000 - 55000,1,driving
Apna (On behalf of Policybazaar Insurance Brokers Private Limited)Click here for more details,Associate Sales Consultant,"Job description
About the Company:
Policybazaar is India's leading online insurance marketplace, empowering customers to make informed decisions about their insurance needs. Policy Bazaar is an equal opportunity employer and welcomes candidates from all backgrounds to apply.
About the Job:
We are seeking enthusiastic and focused individuals forDomesticprocess, to join our team as Sales Executives. In this role, you will be responsible for driving sales through various channels. This is a position, offering a dynamic work environment where you can grow and develop your skills.
Job Details:

Role:International& DomesticSales consultant.
Eligibility criteria: Freshers & Experienced candidates both are welcome.
Salary range: 2.50 LPA to 4.00 LPA (depending upon relevant experience).
Perks: Unlimited Incentives and Day Shifts.
Location: Bhubaneswar

Responsibilities:

Generate leads and convert them into sales.
Meet sales targets and achieve business goals.
Build strong relationships with customers and partners.
Having in-depth knowledge of the products and services sold to clients.
Negotiating deals and closing sales to meet targets.

Required Skills:

Excellent Communication & Interpersonal Skills.
Proactive and Result-Driven Approach.
Strong Product Knowledge & Solution Selling.
Effective Negotiation & Closing Skills.
Adaptability & Flexibility in a Dynamic Environment.
Strong Problem-Solving Abilities & Attention to Detail.

Qualifications:

Experience: 0-5 years in customer service or sales. (Freshers with good communication skills are also welcome).
High School Diploma and Bachelor's degree preferred.
Bike and Driving license.


Pay range and compensation package:
2.50 LPA to 4 LPA (depending upon experience and last ctc.) with unlimited incentives.

Equal Opportunity Statement:
Policy Bazaar is an equal opportunity employer and welcomes candidates from all backgrounds to apply.

Interested people can drop cv to email - binetadas@policybazaar.com
or WhatsApp the C",Apna (On behalf of Policybazaar Insurance Brokers Private Limited)Click here for more details,"South Twenty Four ParganasDistrict: South Twenty Four Parganas, State: West Bengal",0 - 31,"International BPO, B2C Sales, Cold calling, Domestic BPO, Outbound Calling, Life Insurance, Inbound Calling, International Calling, ULIP, International Clients, Domestic Calling",Monthly,Full Time,N/A,1,driving
Apna (On behalf of Swiggy)Click here for more details,Delivery Boy,"""Job Openings inSwiggy Delivery

Join now Swiggyas Delivery Partner And Earn upto 40,000/- Per Month

Work: Simply grocery or fooddelivery By Bike

Weekly Payment and flexibility in working hours

Joining bonus upto 5000/-

Required Document For Joining: Adhar Card, PAN Card, Driving License & Bank Passbook

Freshers & Experienced both can apply

Required male candidates only

So dont wait apply now our team will be contact you for joining formalities""",Apna (On behalf of Swiggy)Click here for more details,"Gurugram (Gurgaon)District: Gurugram (Gurgaon), State: Haryana",0 - 31,delivery,Monthly,Full Time,35000 - 42000,1,driving
